Title,Price,Brand,Size,Link,Likes,Dataid,MarketStatus,SearchDate,Upload_date,Images,SearchCount,Page,SearchName
Gucci pantalon blauw heren. maat: 48 (m),273.7,Gucci,M,https://www.vinted.it/items/8148443022-gucci-pantalon-blauw-heren-maat-48-m?referrer=catalog,0,8148443022,On Sale,,,https://images1.vinted.net/t/04_02000_VcwYJ5tcceY9GEQNnNZeo6xi/310x430/1770756649.webp?s=8f37274952e6ef623204ffd9ce9d4ba68ddc4655,1,1,
Gucci princetown loafers,368.2,Gucci,38.5,https://www.vinted.it/items/8148442831-gucci-princetown-loafers?referrer=catalog,0,8148442831,On Sale,,,https://images1.vinted.net/t/06_00e10_n66ASqtJfRND1PMGqTHDTdwU/310x430/1770756647.webp?s=931e0f6254a9c745729ec62952bbbff8d0fa3e49,1,1,
tote GG Gucci in Canvas,1.071,Gucci,0,https://www.vinted.it/items/8148438042-tote-gg-gucci-in-canvas?referrer=catalog,0,8148438042,On Sale,,,https://images1.vinted.net/t/05_00f12_ZAQYM54tKYa1e3RkKbo8AzNf/310x430/1770756604.webp?s=773cc4d3a6c55ffcc425355dd820199028cfa047,1,1,
Ophidia Gucci,918.0,Gucci,0,https://www.vinted.it/items/8148438272-ophidia-gucci?referrer=catalog,0,8148438272,On Sale,,,https://images1.vinted.net/t/01_01466_mWnP8zQsA2xiQm8jZ7NhbpJj/310x430/1770756606.webp?s=98f56fe98b58a9fe6e68f479f5aa8df2cfc7d3a4,1,1,
Occhiali da sole Gucci vintage,53.2,Gucci,0,https://www.vinted.it/items/8148437572-occhiali-da-sole-gucci-vintage?referrer=catalog,0,8148437572,On Sale,,,https://images1.vinted.net/t/06_0037a_TCDeKMA14p8gMUf75Uc3Sdnz/310x430/1770756600.webp?s=724ed2bec11707c7e7bb69de72812fa42a16e656,1,1,
Profumo donna Gucci rush,42.7,Gucci,0,https://www.vinted.it/items/8148417150-profumo-donna-gucci-rush?referrer=catalog,0,8148417150,On Sale,,,https://images1.vinted.net/t/01_01a91_7YhPe8GBhY72WGeQ1V27wGm7/310x430/1770756422.webp?s=cbf316ce3d76945d1e3f0adcee3c28cfb7a27909,1,1,
Gucci Flora parfumé,63.7,Gucci,0,https://www.vinted.it/items/8148407336-gucci-flora-parfume?referrer=catalog,0,8148407336,On Sale,,,https://images1.vinted.net/t/06_01e2f_bc52Mb7sGUwAPHWZcgutiLEU/310x430/1770756336.webp?s=9d1e1c665d2b475d450bdd11b2c1c2110910e302,1,1,
Claquettes Gucci Web Stripe rouge taille 39,209.65,Gucci,39,https://www.vinted.it/items/8081540863-claquettes-gucci-web-stripe-rouge-taille-39?referrer=catalog,0,8081540863,On Sale,,,https://images1.vinted.net/t/02_00321_SVBaH8dUFpHYhf4n8cnkSW2d/310x430/1770004270.webp?s=f817f4283d2fa37600d13b9a5fadb0a64a603234,1,1,
Profumo Gucci flora,79.45,Gucci,0,https://www.vinted.it/items/8148401202-profumo-gucci-flora?referrer=catalog,0,8148401202,On Sale,,,https://images1.vinted.net/t/06_026ab_T8iJtAKDme4tuw6FcUy9mF2w/310x430/1770756284.webp?s=acd4cce28a6015bbd55e874e1be43fbf5bed1d34,1,1,
Caja de zapatillas,13.3,Gucci,0,https://www.vinted.it/items/8148400594-caja-de-zapatillas?referrer=catalog,0,8148400594,On Sale,,,https://images1.vinted.net/t/06_02063_jPMpjjtHP718E2G34XTSJjio/310x430/1770756278.webp?s=33047033e8cff1c77bd70dceae6470a6444fd6e1,1,1,
