Title,Price,Brand,Size,Link,Likes,Dataid,MarketStatus,SearchDate,Upload_date,Images,SearchCount,Page
FIFA 16,16.45,No brand,0,https://www.vinted.it/items/8274519576-fifa-16?referrer=catalog,0,8274519576,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/05_00e21_NoAfe1Sc1Xuoa5yWtHWZMJgc/310x430/1772213784.webp?s=bc1626de1078ac2f7b0cfae51850600524fbbf3d,1,2
Final Fantasy VIII  PS1 - Edición Original PAL 4 Discos,79.45,No brand,0,https://www.vinted.it/items/8274514823-final-fantasy-viii-ps1-edicion-original-pal-4-discos?referrer=catalog,0,8274514823,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/04_009f3_kohvyTnSD9q7qYZkKND8XA4m/310x430/1772213747.webp?s=1bedd198aa2298a8b911fcbb6ee16362ce962db5,1,2
PS4 Spiele Dracon Ball Z,9.63,No brand,0,https://www.vinted.it/items/8274511717-ps4-spiele-dracon-ball-z?referrer=catalog,0,8274511717,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/06_00711_4dEXriRJyqDaHupkKY2ixc1W/310x430/1772213723.webp?s=020a687a00d298cf88321c587a752a449fbf5657,1,2
Jeux play Rainbowsix,16.45,No brand,0,https://www.vinted.it/items/8274493601-jeux-play-rainbowsix?referrer=catalog,0,8274493601,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/05_015c7_1FWo9zER6LPHQGSGRyGKkEF5/310x430/1772213581.webp?s=354f56440aec4a37703d8b234035be1b2eb1bfda,1,2
Manette Sans Fil Bluetooth JORREP pour PS4 / Pro / Slim - NEUVE,20.65,JORREP,0,https://www.vinted.it/items/8274285794-manette-sans-fil-bluetooth-jorrep-pour-ps4-pro-slim-neuve?referrer=catalog,34,8274285794,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/06_005d5_che4wDwRYtsRVtZ22FY7ByRg/310x430/1772212672.webp?s=48bbb06a87cb91711d7d5a6a10717554f5f5861a,1,2
8-Bit Invaders 💥 Playstation 4 💥 New/Neuf/Nuevo,11.19,No brand,0,https://www.vinted.it/items/8274478405-8-bit-invaders-playstation-4-newneufnuevo?referrer=catalog,7,8274478405,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/05_01f28_HdQmRyWRZe4JtGBD6ekQhZk2/310x430/1772213463.webp?s=b42a4c00de3a30617ceb7f8b8a4f749b10ab672f,1,2
Castlevania Advance Collection Ps4,116.2,No brand,0,https://www.vinted.it/items/8274469754-castlevania-advance-collection-ps4?referrer=catalog,5,8274469754,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/04_021a4_1Fab2zdt4gcQ35JCUWM8nc62/310x430/1772213399.webp?s=b736fe1fdb0ea5f21b178a77446d3a3bb10487d1,1,2
Fallout 4,11.2,No brand,0,https://www.vinted.it/items/8274468998-fallout-4?referrer=catalog,0,8274468998,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/05_015ea_VkGgb7zjB6khRdBEsZCjGFCP/310x430/1772213541.webp?s=4cadf5e0c144fd08a043563a9b763c062ff7fe26,1,2
Jeu ps4 Battflefield 4,13.3,No brand,0,https://www.vinted.it/items/8274468102-jeu-ps4-battflefield-4?referrer=catalog,0,8274468102,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/06_016be_DSM3iKDYZ6uxkxrejK8CtmdY/310x430/1772213386.webp?s=615e68a486d9555dbd9b9743fbd342a36fe55791,1,2
MotoGP 4 Platinum ps2 neuf,16.45,No brand,0,https://www.vinted.it/items/8274463668-motogp-4-platinum-ps2-neuf?referrer=catalog,0,8274463668,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/06_00a64_xbwFDMxLcJZvNRKckbyfnpzN/310x430/1772213353.webp?s=38fb7cc624855dc356acc776893402dd52a4006b,1,2
Ps4 Spiele Hogwarts Legacy,21.7,No brand,0,https://www.vinted.it/items/8274460973-ps4-spiele-hogwarts-legacy?referrer=catalog,1,8274460973,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/04_0067f_xG4GeUVxH4enYNM1Vg1Gmgyy/310x430/1772213333.webp?s=69cf7beed0029eeb55453c68bd190f06bfb3df81,1,2
🇮🇹 Hitman steelbook edition🇮🇹 CD perfetto,26.95,No brand,0,https://www.vinted.it/items/8274452848-hitman-steelbook-edition-cd-perfetto?referrer=catalog,0,8274452848,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/01_0051a_b6DZxpaie9ACCGvrJfT4Ppgc/310x430/1772213271.webp?s=15da0f3642d1ac058f311d0309064dbd26b12154,1,2
Juego PS4 El hobbit lego,8.05,No brand,0,https://www.vinted.it/items/8274453051-juego-ps4-el-hobbit-lego?referrer=catalog,2,8274453051,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/01_0141f_hA7Z6Cd1deDQ6HVsSnHMz4MN/310x430/1772213272.webp?s=9ac7733cb6c48d9b0e610c24e2dab0a13b0d54c0,1,2
FIFA 23 PS4,11.2,No brand,0,https://www.vinted.it/items/8274432773-fifa-23-ps4?referrer=catalog,0,8274432773,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/06_01931_H3TgpTaLA25JSjcaom2jgXj9/310x430/1772213119.webp?s=c423aeca294d930aae5dfed17e41cef131640e75,1,2
Carica batterie per joystick play4,10.15,PlayStation,0,https://www.vinted.it/items/8274421362-carica-batterie-per-joystick-play4?referrer=catalog,0,8274421362,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/01_01733_AhvzXWf3HCJc9jgbwWG8Z4M9/310x430/1772213032.webp?s=1274c2830c497282ed171d8ef2d0aae9a2a5110d,1,2
Call of Duty black ops 3 ps4,8.05,No brand,0,https://www.vinted.it/items/8274427969-call-of-duty-black-ops-3-ps4?referrer=catalog,0,8274427969,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/04_01b37_2BPNkhWQjjMwBWu4gnjNHEcF/310x430/1772213082.webp?s=c44d9b16cfc31dd67ebbf23226e6343f0c7c0b5e,1,2
Project Cars per 2 ps4 cofanetto acciaio,13.3,No brand,0,https://www.vinted.it/items/8274427694-project-cars-per-2-ps4-cofanetto-acciaio?referrer=catalog,0,8274427694,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/06_01b47_wGhuhpEMy6pCW2psecCsLyza/310x430/1772213080.webp?s=10362e46f0bb0a1364f0ec5167ba7c63fe10bfb5,1,2
FIFA 17,10.15,No brand,0,https://www.vinted.it/items/8274426257-fifa-17?referrer=catalog,0,8274426257,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/06_000f4_zWpffw1qPS2yKKtbn3vTLi6x/310x430/1772213069.webp?s=6f1c5a6fd61e4800dac238a397161c5e0a4ad4c8,1,2
Fifa 17/18/19/20/21,11.2,No brand,0,https://www.vinted.it/items/8274425268-fifa-1718192021?referrer=catalog,1,8274425268,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/05_014ee_Jzbq1RFjKTLBkpU9WhHbGAWE/310x430/1772213061.webp?s=1faa5a681c89bccb3795d05d29c6d5656321ca9e,1,2
Jeux Hogwarts Legacy,26.95,No brand,0,https://www.vinted.it/items/8274425771-jeux-hogwarts-legacy?referrer=catalog,0,8274425771,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/05_01bd4_eB2BzMWXhsDoa8btYvPKhnN3/310x430/1772213065.webp?s=3b283913b96935f7fa54a4499d5cedcf5f815e4a,1,2
Jeu PS4 - Uncharted 4: A Thief’s End - 14,0.0,No brand,0,https://www.vinted.it/items/8274416128-jeu-ps4-uncharted-4-a-thiefs-end-1499eu?referrer=catalog,0,8274416128,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/06_020ad_P1EVsxS16BupibzGWx7JUmfC/310x430/1772212993.webp?s=5871b8c5399f54f8b46cceb5df3cd3326987a692,1,2
Jeux moto ps4,10.68,No brand,0,https://www.vinted.it/items/8274412020-jeux-moto-ps4?referrer=catalog,0,8274412020,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/05_01dbd_TkcXw59nZ5PiSkCi7tZxGk7G/310x430/1772212961.webp?s=8f1deef82d4cfff9cc6081b90c61594df50cf63f,1,2
Call of duty WW2 pro edition cofanetto ps4,13.3,No brand,0,https://www.vinted.it/items/8274401961-call-of-duty-ww2-pro-edition-cofanetto-ps4?referrer=catalog,4,8274401961,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/01_013b5_2LiXVzG4EoKevp2bji8z88xw/310x430/1772212885.webp?s=753a9aef8f7310512e404cfcb76bf82f3b824fa2,1,2
Jeux Rayman Légends,8.05,No brand,0,https://www.vinted.it/items/8274399000-jeux-rayman-legends?referrer=catalog,1,8274399000,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/05_00a3f_rWgADjaQsRA4UfXPA7Xj7XQG/310x430/1772212863.webp?s=4f795a6118d430dea13e7a51df2be6647aa69885,1,2
WWE 2K22 Gioco per PS4 Playstation 4 Completo WWE,16.45,No brand,0,https://www.vinted.it/items/8274394692-wwe-2k22-gioco-per-ps4-playstation-4-completo-wwe?referrer=catalog,1,8274394692,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/01_01d26_TT118tnLETA39rdEXwAZqPXr/310x430/1772212831.webp?s=a833f3e0510165047a2c3a9aff2e2bcb54093dc1,1,2
The Last of Us Remastered.Prima Stampa - Edizione Italiana,16.45,No brand,0,https://www.vinted.it/items/8274395414-the-last-of-us-remasteredprima-stampa-edizione-italiana?referrer=catalog,0,8274395414,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/05_01d0a_1Gsj4ft6ki2ZWVipTwxDXLmn/310x430/1772212837.webp?s=6ba938c7d36af99c6c620a36d4e116e9bfc39d4f,1,2
Metal Slug Anthology (blister FR PS4),35.35,No brand,0,https://www.vinted.it/items/8274394033-metal-slug-anthology-blister-fr-ps4?referrer=catalog,17,8274394033,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/05_002c9_8gAQXWuuEsQDhkHc8PFpUiYa/310x430/1772212826.webp?s=6aec709cb3556d7ec69998c0624cefaeb5a5119d,1,2
Volante RWA Racing Wheel Apex PS4,74.2,Hori,0,https://www.vinted.it/items/8274393494-volante-rwa-racing-wheel-apex-ps4?referrer=catalog,0,8274393494,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/04_02676_jyB2hsuiiinLP68KoYa5iaYB/310x430/1772212822.webp?s=4be69c444c6150e8a66ba41b7a66de06b1afb0df,1,2
Pack Juegos PS4,32.2,No brand,0,https://www.vinted.it/items/8274393098-pack-juegos-ps4?referrer=catalog,3,8274393098,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/01_01f90_GVHhJUH9rVoC6nX3qDb41Hp8/310x430/1772212819.webp?s=dc737fc6b65d4888025c925b933b5f566cdab001,1,2
Disgaea 7 ps4 sealed,26.95,No brand,0,https://www.vinted.it/items/8274391311-disgaea-7-ps4-sealed?referrer=catalog,3,8274391311,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/01_00a6a_eEBMr7pkkS6Gmyz849FiQrTk/310x430/1772212805.webp?s=e7f4271cec280d35a589e69ccca89a1e9fe07ad9,1,2
Left Alive 💥 Playstation 4 💥 New/Neuf/Nuevo,16.44,No brand,0,https://www.vinted.it/items/8274381119-left-alive-playstation-4-newneufnuevo?referrer=catalog,7,8274381119,Sold,27/02/2026 19:31:57,,https://images1.vinted.net/t/01_00e9b_gkVJsuPgDsPL8C6SoU3QdxgW/310x430/1772212728.webp?s=901c46e5e747e9d74039d2c27d49cc6bc3d73d83,1,2
